Model,MAE,MSE,RMSE,R2
Linear Regression,0.17505562924070667,0.052950738598434265,0.23011027486497482,0.8774482103475059
Decision Tree,0.1598835678525321,0.04966278510612338,0.2228514866589931,0.8850580113709194
Random Forest,0.12461319257047081,0.029101801084392274,0.17059250008248392,0.9326453624745354
Gradient Boosting,0.141353290627761,0.03560127693701582,0.18868300648711273,0.9176026563928918
XGBoost,0.11870296162617971,0.026619631178513452,0.16315523644221,0.9383902183960732
